transaction_id,date,month,department,category,transaction_type,budget_amount,actual_amount,description
TXN-0266,2024-05-29,2024-05,Faculty of Business,Training,revenue,10269.28,9592.91,Training programme fee
TXN-0259,2024-05-31,2024-05,Research Office,Travel,expense,48010.76,40909.65,International research trip
TXN-0279,2024-06-01,2024-06,Faculty of Engineering,Salary,expense,39259.89,28116.61,Overtime compensation
TXN-0294,2024-06-02,2024-06,Admissions Office,Travel,expense,53502.94,169671.19,Domestic conference travel
TXN-0289,2024-06-02,2024-06,Admissions Office,Equipment,expense,70719.37,69021.73,Computer hardware upgrade
TXN-0285,2024-06-02,2024-06,Faculty of Engineering,Travel,revenue,40889.25,32585.65,Travel reimbursement received
TXN-0280,2024-06-02,2024-06,Faculty of Engineering,Equipment,expense,5226.16,6262.48,Office furniture
TXN-0316,2024-06-02,2024-06,Faculty of Business,Equipment,revenue,104950.03,75769.7,Equipment rental income
TXN-0276,2024-06-03,2024-06,Faculty of Medicine,Travel,revenue,103649.58,89846.36,Travel reimbursement received
TXN-0308,2024-06-03,2024-06,Research Office,Marketing,expense,23072.66,20154.86,Brochure printing
TXN-0292,2024-06-05,2024-06,Admissions Office,Training,expense,18790.92,15983.93,Conference registration
TXN-0278,2024-06-05,2024-06,Faculty of Engineering,Salary,expense,20405.11,25070.36,Part-time lecturer payment
TXN-0321,2024-06-06,2024-06,Faculty of Business,Operations,expense,75722.02,62434.78,Utility bills
TXN-0287,2024-06-07,2024-06,Faculty of Engineering,Operations,expense,55401.77,89712.25,Office supplies
TXN-0293,2024-06-09,2024-06,Admissions Office,Travel,revenue,86545.96,84034.41,Travel reimbursement received
TXN-0312,2024-06-09,2024-06,Research Office,Travel,revenue,146206.76,138975.6,Travel reimbursement received
TXN-0314,2024-06-10,2024-06,Faculty of Business,Salary,expense,20536.86,15204.95,Monthly staff salary
TXN-0306,2024-06-10,2024-06,Research Office,Equipment,expense,6179.88,250608.19,Office furniture
TXN-0320,2024-06-12,2024-06,Faculty of Business,Travel,expense,16566.57,14897.81,International research trip
TXN-0298,2024-06-12,2024-06,Student Affairs,Equipment,expense,63163.54,50946.78,Computer hardware upgrade
TXN-0299,2024-06-12,2024-06,Student Affairs,Marketing,expense,65211.25,58838.53,Social media campaign
TXN-0315,2024-06-13,2024-06,Faculty of Business,Salary,expense,23035.41,21508.21,Part-time lecturer payment
TXN-0270,2024-06-13,2024-06,Faculty of Medicine,Salary,expense,69210.99,65831.55,Monthly staff salary
TXN-0297,2024-06-13,2024-06,Student Affairs,Salary,revenue,22010.85,21568.0,Consulting service income
TXN-0284,2024-06-14,2024-06,Faculty of Engineering,Training,expense,21701.77,25053.11,Conference registration
TXN-0291,2024-06-14,2024-06,Admissions Office,Marketing,revenue,141530.03,125675.26,Sponsorship revenue
TXN-0318,2024-06-14,2024-06,Faculty of Business,Training,expense,25499.53,24936.6,Online course subscription
TXN-0271,2024-06-15,2024-06,Faculty of Medicine,Equipment,expense,15545.89,12290.71,Lab equipment purchase
TXN-0302,2024-06-15,2024-06,Student Affairs,Training,revenue,53946.82,49293.42,Training programme fee
TXN-0274,2024-06-16,2024-06,Faculty of Medicine,Training,expense,52903.35,50965.92,Staff development workshop
TXN-0290,2024-06-16,2024-06,Admissions Office,Equipment,expense,49375.03,44726.83,Office furniture
TXN-0283,2024-06-17,2024-06,Faculty of Engineering,Marketing,revenue,131810.29,97175.44,Sponsorship revenue
TXN-0310,2024-06-18,2024-06,Research Office,Training,revenue,16689.45,133382.77,Training programme fee
TXN-0295,2024-06-18,2024-06,Admissions Office,Operations,expense,50372.71,67077.7,Office supplies
TXN-0300,2024-06-19,2024-06,Student Affairs,Marketing,expense,8428.66,154116.06,Open day advertising
TXN-0311,2024-06-19,2024-06,Research Office,Travel,expense,5708.76,4270.08,International research trip
TXN-0288,2024-06-20,2024-06,Admissions Office,Salary,expense,79511.26,60871.06,Overtime compensation
TXN-0286,2024-06-20,2024-06,Faculty of Engineering,Travel,revenue,65789.89,70642.63,Travel reimbursement received
TXN-0301,2024-06-21,2024-06,Student Affairs,Training,expense,19714.38,15069.77,Conference registration
TXN-0303,2024-06-21,2024-06,Student Affairs,Travel,expense,31413.21,23220.28,Field study transport
TXN-0309,2024-06-22,2024-06,Research Office,Training,revenue,71554.67,54961.01,Training programme fee
TXN-0272,2024-06-22,2024-06,Faculty of Medicine,Marketing,revenue,48782.15,62382.09,Sponsorship revenue
TXN-0282,2024-06-22,2024-06,Faculty of Engineering,Marketing,expense,71850.02,59318.69,Social media campaign
TXN-0319,2024-06-23,2024-06,Faculty of Business,Training,expense,48940.63,39466.72,Staff development workshop
TXN-0273,2024-06-25,2024-06,Faculty of Medicine,Marketing,expense,28010.48,22786.99,Open day advertising
TXN-0275,2024-06-25,2024-06,Faculty of Medicine,Training,expense,61080.11,53115.69,Online course subscription
TXN-0317,2024-06-25,2024-06,Faculty of Business,Marketing,expense,67900.6,54005.83,Brochure printing
TXN-0281,2024-06-25,2024-06,Faculty of Engineering,Equipment,revenue,15007.78,17905.83,Equipment rental income
TXN-0304,2024-06-27,2024-06,Student Affairs,Operations,expense,67930.14,42008.99,Utility bills
TXN-0277,2024-06-28,2024-06,Faculty of Medicine,Operations,expense,46073.69,38772.69,Building maintenance
TXN-0307,2024-06-30,2024-06,Research Office,Equipment,expense,65986.79,58644.39,Lab equipment purchase
TXN-0296,2024-06-30,2024-06,Admissions Office,Operations,expense,20666.68,19715.38,Utility bills
TXN-0313,2024-06-30,2024-06,Research Office,Operations,revenue,104242.17,81152.99,Grant funding received
TXN-0305,2024-06-30,2024-06,Research Office,Salary,expense,16327.22,42531.93,Overtime compensation
